CH1,CH10
60.3332,-0.182495
60.1501,-0.180359
59.845,-0.177765
59.7534,-0.176697
59.6008,-0.174713
59.5093,-0.172119
59.2346,-0.170746
58.8379,-0.167999
58.3496,-0.166931
57.9834,-0.16449
57.6477,-0.162964
57.312,-0.162048
57.0068,-0.162354
56.8542,-0.159607
56.6711,-0.158234
56.5491,-0.157318
56.4575,-0.154877
56.1828,-0.154572
56.0913,-0.152435
55.8166,-0.150757
55.6946,-0.149689
55.6335,-0.148468
55.4504,-0.147247
55.3894,-0.145111
55.3284,-0.145111
55.2673,-0.143127
55.2368,-0.140991
55.2063,-0.138855
55.2063,-0.136261
55.2063,-0.133514
55.1147,-0.131226
55.1452,-0.130768
55.1452,-0.128174
55.1147,-0.125427
55.1147,-0.122986
55.1452,-0.120697
55.0537,-0.118103
54.8096,-0.115814
54.4433,-0.115662
54.2908,-0.115356
54.0771,-0.113678
53.833,-0.11322
53.7414,-0.112915
53.5888,-0.110931
53.5278,-0.108185
53.4668,-0.106049
53.1921,-0.101776
52.7038,-0.0968933
52.2461,-0.0920105
51.7273,-0.0871277
51.3611,-0.0822449
50.9949,-0.0772095
50.6897,-0.0730896
50.5371,-0.0695801
50.3235,-0.0650024
50.2319,-0.0628662
50.0793,-0.0617981
49.7742,-0.06073
49.4385,-0.0596619
49.3164,-0.0595093
49.0112,-0.0592041
48.8891,-0.0579834
48.7366,-0.0553894
48.5534,-0.052948
48.5534,-0.0497437
48.4619,-0.0466919
48.3093,-0.0450134
48.1567,-0.0447083
47.8821,-0.0447083
47.6074,-0.0445557
47.4853,-0.0469971
47.3633,-0.0486755
47.2412,-0.0495911
47.0886,-0.0494385
46.9971,-0.0469971
46.9971,-0.0445557
46.9055,-0.0404358
46.8445,-0.0360107
46.8445,-0.0309753
46.8139,-0.0244141
46.875,-0.0187683
46.8445,-0.0115967
46.7834,-0.00671387
46.8139,-0.0038147
46.7834,-0.000610352
46.7529,0.00137329
46.9055,0.00427246
46.9055,0.00686646
47.0886,0.00915527
47.1802,0.0115967
47.3633,0.0135803
47.3938,0.0178528
47.4548,0.0202942
47.5769,0.0238037
47.5769,0.0276184
47.5464,0.0312805
47.6684,0.0350952
47.699,0.0376892
47.8515,0.0402832
47.9126,0.0440979
47.9736,0.0471497
48.0347,0.0480652
48.0347,0.0502014
48.1262,0.050354
48.0652,0.0500488
48.0957,0.0505066
48.2788,0.0502014
48.6145,0.0500488
48.9807,0.050354
49.3774,0.0517273
49.8047,0.0526428
50.0488,0.0546265
50.354,0.055542
50.6286,0.0575256
50.7202,0.0613403
50.8423,0.0639343
51.0254,0.0668335
51.4221,0.0695801
51.9714,0.0715637
52.4902,0.0723267
52.8869,0.0724792
53.3142,0.0709534
53.5278,0.0683594
53.7414,0.0672913
53.9856,0.0654602
54.1382,0.0653076
54.3213,0.0650024
54.4128,0.065155
54.4433,0.0646973
54.4739,0.065155
54.4433,0.0669861
54.5044,0.067749
54.4739,0.0672913
54.5654,0.0674438
54.5654,0.0674438
54.5654,0.0691223
54.5654,0.0698853
54.5654,0.0721741
54.5654,0.0740051
54.5654,0.0764465
54.5044,0.0796509
54.5654,0.083313
54.5654,0.085907
54.5959,0.0892639
54.5654,0.0918579
54.5959,0.0941467
55.0232,0.0956726
56.2439,0.0967407
57.5867,0.096283
59.0515,0.0979614
60.2112,0.0970459
61.2488,0.0965881
61.9507,0.0939941
62.6526,0.0904846
63.1409,0.0854492
63.5071,0.0827026
64.5141,0.0796509
66.5893,0.0773621
68.8171,0.0756836
70.9228,0.0749207
72.6623,0.0746155
74.1577,0.0750732
75.2258,0.0750732
76.2634,0.0746155
77.0263,0.0767517
77.5451,0.0773621
78.6743,0.0772095
80.719,0.0750732
82.9773,0.0732422
84.9914,0.0706482
86.5784,0.067749
88.0737,0.0639343
89.1723,0.0604248
90.0879,0.0559998
90.7593,0.0509644
91.4306,0.0462341
92.1936,0.0396729
93.7195,0.032959
95.0928,0.0260925
96.4966,0.0198364
97.6867,0.01297
98.6633,0.00610352
99.3652,0.000305176
100.006,-0.00701904
100.494,-0.0141907
100.861,-0.0192261
101.868,-0.0265503
103.851,-0.0315857
105.988,-0.0384521
108.032,-0.0436401
109.68,-0.0509644
111.176,-0.0558472
112.274,-0.0608826
113.19,-0.0654602
113.892,-0.0704956
114.502,-0.0756836
114.99,-0.0805664
115.601,-0.085144
116.119,-0.0900269
116.516,-0.0949097
116.943,-0.0999451
117.31,-0.102844
117.523,-0.107422
117.706,-0.110779
117.889,-0.114746
118.072,-0.119629
118.195,-0.121918
118.591,-0.12558
119.019,-0.127869
119.354,-0.130157
119.72,-0.130615
119.934,-0.130157
120.148,-0.130463
120.361,-0.13031
120.483,-0.128021
120.605,-0.125732
120.666,-0.123138
120.666,-0.120392
120.636,-0.118103
120.575,-0.116577
120.605,-0.115814
120.575,-0.113525
120.544,-0.113373
120.514,-0.111694
120.514,-0.110779
120.544,-0.113068
120.483,-0.113678
120.453,-0.113373
120.483,-0.115509
120.422,-0.115967
120.514,-0.116119
120.514,-0.11795
120.514,-0.118256
120.483,-0.120392
120.453,-0.122681
120.483,-0.124969
120.544,-0.12558
120.605,-0.127869
120.636,-0.1297
120.666,-0.13031
120.789,-0.130463
120.789,-0.130463
120.85,-0.13031
120.85,-0.128021
120.972,-0.125732
120.911,-0.123901
120.941,-0.122833
121.002,-0.120697
120.911,-0.120392
121.002,-0.119171
120.972,-0.117798
121.002,-0.116577
121.063,-0.115662
121.002,-0.113068
121.033,-0.112
121.033,-0.110626
121.002,-0.108337
120.941,-0.106049
120.85,-0.10376
120.789,-0.101013
120.758,-0.0984192
120.636,-0.0968933
120.697,-0.0959778
120.636,-0.093689
120.605,-0.0918579
120.605,-0.0895691
120.605,-0.0871277
120.422,-0.0848389
120.392,-0.0820923
120.331,-0.0814819
120.361,-0.0799561
120.239,-0.0788879
120.209,-0.0788879
120.148,-0.0790405
120.026,-0.0775146
